municipio ;id_uf
Abdon Batista;1
Abelardo Luz;1
Agrolandia;1
Agronomica;1
Agua Doce;1
Aguas De Chapeco;1
Aguas Frias;1
Aguas Mornas;1
Alfredo Wagner;1
Alto Bela Vista;1
Anchieta;1
Angelina;1
Anita Garibaldi;1
Anitapolis;1
Antonio Carlos;1
Apiuna;1
Arabuta;1
Araquari;1
Ararangua;1
Armazem;1
Arroio Trinta;1
Arvoredo;1
Ascurra;1
Atalanta;1
Aurora;1
Balneario Arroio Do Silva;1
Balneario Barra Do Sul;1
Balneario Camboriu;1
Balneario De Picarras;1
Balneario Gaivota;1
Bandeirante;1
Barra Bonita;1
Barra Velha;1
Bela Vista Do Toldo;1
Belmonte;1
Benedito Novo;1
Biguacu;1
Blumenau;1
Bocaina Do Sul;1
Bom Jardim Da Serra;1
Bom Jesus;1
Bom Jesus Do Oeste;1
Bom Retiro;1
Bombinhas;1
Botuvera;1
Braco Do Norte;1
Braco Do Trombudo;1
Brunopolis;1
Brusque;1
Cacador;1
Caibi;1
Calmon;1
Camboriu;1
Campo Alegre;1
Campo Belo Do Sul;1
Campo Ere;1
Campos Novos;1
Canelinha;1
Canoinhas;1
Capao Alto;1
Capinzal;1
Capivari De Baixo;1
Catanduvas;1
Caxambu Do Sul;1
Celso Ramos;1
Cerro Negro;1
Chapadao Do Lageado;1
Chapeco;1
Cocal Do Sul;1
Concordia;1
Cordilheira Alta;1
Coronel Freitas;1
Coronel Martins;1
Correia Pinto;1
Corupa;1
Criciuma;1
Cunha Pora;1
Cunhatai;1
Curitibanos;1
Descanso;1
Dionisio Cerqueira;1
Dona Emma;1
Doutor Pedrinho;1
Entre Rios;1
Ermo;1
Erval Velho;1
Faxinal Dos Guedes;1
Flor Do Sertao;1
Florianopolis;1
Formosa Do Sul;1
Forquilhinha;1
Fraiburgo;1
Frei Rogerio;1
Galvao;1
Garopaba;1
Garuva;1
Gaspar;1
Governador Celso Ramos;1
Grao Para;1
Gravatal;1
Guabiruba;1
Guaraciaba;1
Guaramirim;1
Guaruja Do Sul;1
Guatambu;1
Herval D'oeste;1
Ibiam;1
Ibicare;1
Ibirama;1
Icara;1
Ilhota;1
Imarui;1
Imbituba;1
Imbuia;1
Indaial;1
Iomere;1
Ipira;1
Ipora Do Oeste;1
Ipuacu;1
Ipumirim;1
Iraceminha;1
Irani;1
Irati;1
Irineopolis;1
Ita;1
Itaiopolis;1
Itajai;1
Itapema;1
Itapiranga;1
Itapoa;1
Ituporanga;1
Jabora;1
Jacinto Machado;1
Jaguaruna;1
Jaragua Do Sul;1
Jardinopolis;1
Joacaba;1
Joinville;1
Jose Boiteux;1
Jupia;1
Lacerdopolis;1
Lageado Grande;1
Lages;1
Laguna;1
Laurentino;1
Lauro Muller;1
Lebon Regis;1
Leoberto Leal;1
Lindoia Do Sul;1
Lontras;1
Luiz Alves;1
Luzerna;1
Macieira;1
Mafra;1
Major Gercino;1
Major Vieira;1
Maracaja;1
Maravilha;1
Marema;1
Massaranduba;1
Matos Costa;1
Meleiro;1
Mirim Doce;1
Modelo;1
Mondai;1
Monte Carlo;1
Monte Castelo;1
Morro Da Fumaca;1
Morro Grande;1
Navegantes;1
Nova Erechim;1
Nova Itaberaba;1
Nova Trento;1
Nova Veneza;1
Novo Horizonte;1
Orleans;1
Otacilio Costa;1
Ouro;1
Ouro Verde;1
Paial;1
Painel;1
Palhoca;1
Palma Sola;1
Palmeira;1
Palmitos;1
Papanduva;1
Paraiso;1
Passo De Torres;1
Passos Maia;1
Paulo Lopes;1
Pedras Grandes;1
Penha;1
Peritiba;1
Petrolandia;1
Pinhalzinho;1
Pinheiro Preto;1
Piratuba;1
Planalto Alegre;1
Pomerode;1
Ponte Alta;1
Ponte Alta Do Norte;1
Ponte Serrada;1
Porto Belo;1
Porto Uniao;1
Pouso Redondo;1
Praia Grande;1
Presidente Castelo Branco;1
Presidente Getulio;1
Presidente Nereu;1
Princesa;1
Quilombo;1
Rancho Queimado;1
Rio Das Antas;1
Rio Do Campo;1
Rio Do Oeste;1
Rio Do Sul;1
Rio Dos Cedros;1
Rio Fortuna;1
Rio Negrinho;1
Rio Rufino;1
Riqueza;1
Rodeio;1
Romelandia;1
Salete;1
Saltinho;1
Salto Veloso;1
Sangao;1
Santa Cecilia;1
Santa Helena;1
Santa Rosa De Lima;1
Santa Rosa Do Sul;1
Santa Terezinha;1
Santa Terezinha Do Progresso;1
Santiago Do Sul;1
Santo Amaro Da Imperatriz;1
Sao Bento Do Sul;1
Sao Bernardino;1
Sao Bonifacio;1
Sao Carlos;1
Sao Cristovao Do Sul;1
Sao Domingos;1
Sao Francisco Do Sul;1
Sao Joao Batista;1
Sao Joao Do Itaperiu;1
Sao Joao Do Oeste;1
Sao Joao Do Sul;1
Sao Joaquim;1
Sao Jose;1
Sao Jose Do Cedro;1
Sao Jose Do Cerrito;1
Sao Lourenco D'oeste;1
Sao Ludgero;1
Sao Martinho;1
Sao Miguel Da Boa Vista;1
Sao Miguel D'oeste;1
Sao Pedro De Alcantara;1
Saudades;1
Schroeder;1
Seara;1
Serra Alta;1
Sideropolis;1
Sombrio;1
Sul Brasil;1
Taio;1
Tangara;1
Tigrinhos;1
Tijucas;1
Timbe Do Sul;1
Timbo;1
Timbo Grande;1
Tres Barras;1
Treviso;1
Treze De Maio;1
Treze Tilias;1
Trombudo Central;1
Tubarao;1
Tunapolis;1
Turvo;1
Uniao Do Oeste;1
Urubici;1
Urupema;1
Urussanga;1
Vargeao;1
Vargem;1
Vargem Bonita;1
Vidal Ramos;1
Videira;1
Vitor Meireles;1
Witmarsum;1
Xanxere;1
Xavantina;1
Xaxim;1
Zortea;1
